Case;VehCat;Year;TrafficScenario;Component;RoadCat;AmbientCondPattern;EFA_weighted;EFA_km_weighted;EFA_WTT_weighted;EFA_WTT_km_weighted;EFA_WTW_weighted;EFA_WTW_km_weighted
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,6-7h,0-1km;0.399158447980881;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,7-8h,0-1km;0.460567444562912;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,8-9h,0-1km;0.52197653055191;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,9-10h,0-1km;0.583385407924652;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,10-11h,0-1km;0.644794404506683;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,11-12h,0-1km;0.70620334148407;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,>12h,0-1km;0.737202763557434;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,0-1h,1-2km;0.11484981328249;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,1-2h,1-2km;0.266199946403503;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,2-3h,1-2km;0.405217856168747;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,3-4h,1-2km;0.55596125125885;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,4-5h,1-2km;0.707897543907166;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,5-6h,1-2km;0.865208029747009;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,6-7h,1-2km;1.02251875400543;;;;;
cold_avr_WTT[4.2.2];HGV;2020;REF D HB42;FC_MJ;Urban;TØ,7-8h,1-2km;1.1798290014267;;;;;
